行け。 	 Go.
こんにちは。 	 Hi.
やっほー。 	 Hi.
走れ！ 	 Run!
走って！ 	 Run.
すごい！ 	 Wow!
わぉ！ 	 Wow!
火事だ！ 	 Fire!
撃て！ 	 Fire!
助けてくれ！ 	 Help!
飛び越えろ！ 	 Jump!
飛び降りろ！ 	 Jump!
ジャンプして！ 	 Jump!
飛び跳ねて！ 	 Jump.
跳んで。 	 Jump.
止まれ！ 	 Stop!
続けて。 	 Go on.
進め。 	 Go on.
こんにちは。 	 Hello!
こんにちは！ 	 Hello!
なるほど。 	 I see.
わかった。 	 I see.
そうですか。 	 I see.
そっか。 	 I see.
やってみる。 	 I try.
やってみよう！ 	 I try.
俺の勝ちー！ 	 I won!
勝ったぞ！ 	 I won!
私が勝ち！ 	 I won!
なんてことだ！ 	 Oh no!
あー、しまった！ 	 Oh no!
何てことだ！ 	 Oh no!
くつろいで。 	 Relax.
楽にしてください。 	 Relax.
撃て！ 	 Shoot!
にっこり笑って。 	 Smile.
動くな！ 	 Freeze!
起きなさい。 	 Get up.
さあ、行っといで。 	 Go now.
分かった！ 	 Got it!
彼が走った。 	 He ran.
さあ乗って。 	 Hop in.
ぎゅーして。 	 Hug me.
分かってます。 	 I know.
負けた・・・。 	 I lost.
辞職します。 	 I quit.
やめた。 	 I quit.
大丈夫ですよ。 	 I'm OK.
目は覚めています。 	 I'm up.
聞きなさい。 	 Listen.
馬鹿な！ 	 No way!
とんでもない！ 	 No way!
とんでもありません！ 	 No way!
本当に？ 	 Really?
ありがとう。 	 Thanks!
あざっす！ 	 Thanks!
お疲れさまでした。 	 Thanks.
おおきに！ 	 Thanks.
俺らの勝ちー！ 	 We won.
何でわたしなの？ 	 Why me?
トムに聞きなさい。 	 Ask Tom.
トムに聞いてごらん。 	 Ask Tom.
落ち着いて。 	 Be calm.
冷静に。 	 Be cool.
優しくしてあげなさい。 	 Be nice.
連絡をちょうだい。 	 Call me.
お電話ください。 	 Call us.
お入りください。 	 Come in.
入って。 	 Come in.
入ってください！ 	 Come in.
おいおい。 	 Come on.
出て行け！ 	 Get out!
出ろ！ 	 Get out!
出て行け！ 	 Get out.
外に出ろ。 	 Get out.
出ろ！ 	 Get out.
あっちへ行け！ 	 Go away!
向こうへ行け！ 	 Go away.
あっちへ行け！ 	 Go away.
帰りなさい。 	 Go home.
慌てない、慌てない。 	 Go slow.
さようなら。 	 Goodbye!
切らないで。 	 Hang on.
やめた。 	 He quit.
助けてくれ。 	 Help me!
助けてくれ。 	 Help me.
手伝ってよ。 	 Help me.
手伝って。 	 Help me.
ハーイ、トム。 	 Hi, Tom.
トムを殴れ。 	 Hit Tom.
待って！ 	 Hold it!
お待ちください。 	 Hold on.
トムにハグして。 	 Hug Tom.
賛成です。 	 I agree.
そう思います。 	 I agree.
同意する。 	 I agree.
やってみた。 	 I tried.
私が行きます。 	 I'll go.
トムといいます。 	 I'm Tom.
私は太っている。 	 I'm fat.
私ももう年だ。 	 I'm old.
私は引っ込み思案です。 	 I'm shy.
大丈夫、大丈夫。 	 It's OK.
私よ！ 	 It's me!
僕だよ！ 	 It's me.
取っておいて。 	 Keep it.
私もそうです。 	 Me, too.
開けてくれ。 	 Open up.
バッチリ！ 	 Perfect!
パーフェクト！ 	 Perfect!
じゃ、またねっ！ 	 See you.
また会おう！ 	 See you.
ちょっと見せて。 	 Show me.
やめておけ。 	 Skip it.
やめなさい。 	 Stop it.
いいかげんにして。 	 Stop it.
これ取っておいて。 	 Take it.
片付けなさいよ。 	 Tidy up.
トムは走った。 	 Tom ran.
トムの勝ち。 	 Tom won.
目を覚ませよ！ 	 Wake up!
起きて！ 	 Wake up!
目を覚ませよ！ 	 Wake up.
起きて！ 	 Wake up.
手を洗いなさい。 	 Wash up.
私たちは知ってる。 	 We know.
俺たちは知ってる。 	 We know.
こんにちは。 	 Welcome.
ようこそ。 	 Welcome.
誰が勝ったの？ 	 Who won?
どうしてダメなの？ 	 Why not?
君が走れ。 	 You run.
おまえの勝ちだ。 	 You won.
彼らに聞きなさい。 	 Ask them.
引っ込んでて！ 	 Back off!
黙っていなさい。 	 Be quiet.
静かに！ 	 Be quiet.
静かにしなさい。 	 Be quiet.
お静かに。 	 Be quiet.
トムに電話して。 	 Call Tom.
元気出して。 	 Cheer up!
元気出せよ。 	 Cheer up!
元気出して。 	 Cheer up.
頭を冷やせ。 	 Cool off!
行かないで。 	 Don't go.
トムを見つけて。 	 Find Tom.
向こうへ行け！ 	 Get away!
どっか行け。 	 Get lost!
どっか行け。 	 Get lost.
どうぞ、お先に！ 	 Go ahead!
どうぞ、お先に！ 	 Go ahead.
お疲れさまでした。 	 Good job!
トムを捕まえろ。 	 Grab Tom.
楽しんできなさい。 	 Have fun.
トムを助けてやって。 	 Help Tom.
かわいい！ 	 How cute!
失敬な！ 	 How rude!
さあ、急いで。 	 Hurry up.
トムと申します。 	 I am Tom.
やった。 	 I did it.
失敗した。 	 I failed.
忘れました。 	 I forgot.
